country,country_long,name,capacity_mw,latitude,longitude,primary_fuel,,Text
AUS,Australia,Sapphire Wind Farm,270,-29.6997,151.4119,Wind,,
AUS,Australia,Savannah Nickel Mine,10.8,-17.3631,128.0331,Non-Renewables,,
AUS,Australia,Shenton Park WMRC Project,1,-31.9577,115.7924,Waste,,
AUS,Australia,Shepparton Biogas Generation Plant,1.1,-36.3218,145.379,Waste,,
AUS,Australia,Smithfield Energy,170.9,-33.85,150.9495,Non-Renewables,,
AUS,Australia,Snowtown North,148,-33.714,138.1402,Wind,,
AUS,Australia,Snowtown South,126,-33.8302,138.1184,Wind,,
AUS,Australia,Snuggery,63,-37.6646,140.4156,Non-Renewables,,
AUS,Australia,Solomon Iron Ore Mine,125,-22.1581,117.9849,Non-Renewables,,
AUS,Australia,Somerton,160,-37.6318,144.9531,Non-Renewables,,
AUS,Australia,South Cardup (Shale Road Landfill),3.3,-32.2664,116.0193,Waste,,
AUS,Australia,South Johnstone,20,-17.6057,145.991,Biomass,,
AUS,Australia,Springvale,4.2,-37.9733,145.1396,Waste,,
AUS,Australia,St George Leagues Club,1,-33.9748,151.1294,Non-Renewables,,
AUS,Australia,Stanwell,1460,-23.5097,150.3195,Non-Renewables,,
AUS,Australia,Stapylton Green Energy,4.8,-27.7334,153.2463,Biomass,,
AUS,Australia,Starfish Hill Wind Farm,34.5,-35.5678,138.1432,Wind,,
AUS,Australia,Studland Bay (Woolnorth) Wind Farm,75,-40.7788,144.7362,Wind,,
AUS,Australia,Summerhill,5,-32.891,151.65,Solar,,
AUS,Australia,Summerhill,2.2,-32.8885,151.643,Waste,,
AUS,Australia,Sun Metals Solar Farm,124,-19.3355,146.8885,Solar,,
AUS,Australia,Suncoast Gold Macadamia,1.5,-26.2261,152.6981,Biomass,,
AUS,Australia,Sunraysia,200,-34.804,143.491,Solar,,
AUS,Australia,Sunrise Dam,28.4,-29.0927,122.4393,Non-Renewables,,
AUS,Australia,Susan River,98,-25.32,152.405,Solar,,
AUS,Australia,Swan Hill,19,-35.342,143.518,Solar,,
AUS,Australia,Swanbank E,385,-27.6554,152.8179,Non-Renewables,,
AUS,Australia,Symex Port Melbourne,5.9,-37.8298,144.9444,Non-Renewables,,
AUS,Australia,Tableland,7,-17.1193,145.345,Biomass,,
AUS,Australia,Tahmoor,7,-34.2482,150.5808,Non-Renewables,,
AUS,Australia,Tailem Bend Solar Farm,95,-35.2708,139.4924,Solar,,
AUS,Australia,Tallawarra,460,-34.5228,150.8081,Non-Renewables,,
AUS,Australia,Tamala Park,4.65,-31.7078,115.7266,Waste,,
AUS,Australia,Tamar Valley,390,-41.1401,146.9036,Non-Renewables,,
AUS,Australia,Taralga Wind Farm,107,-34.4314,149.8652,Wind,,
AUS,Australia,Tarong,1400,-26.7824,151.9153,Non-Renewables,,
AUS,Australia,Tarong (Oil),15,-26.7858,151.9172,Non-Renewables,,
AUS,Australia,Tarong North,443,-26.7758,151.9146,Non-Renewables,,
AUS,Australia,Tarraleah,90,-42.3012,146.4572,Hydro,,
AUS,Australia,Tatura Biogas Generation Plant,1.1,-36.4793,145.235,Waste,,
AUS,Australia,Tea Tree Gully,1,-34.8303,138.7129,Waste,,
AUS,Australia,Telfer Gold Mine,159,-21.7129,122.2091,Non-Renewables,,
AUS,Australia,Tennant Creek,16.7,-19.6549,134.1753,Non-Renewables,,
AUS,Australia,Teralba,3,-32.9455,151.6119,Non-Renewables,,
AUS,Australia,Terminal Storage,2.5,-34.8393,138.7112,Hydro,,
AUS,Australia,The Drop,3,-35.6043,145.7837,Hydro,,
AUS,Australia,Ti Tree Bioenergy,3.3,-27.6802,152.6593,Waste,,
AUS,Australia,Timber Creek,1,-15.6562,130.479,Non-Renewables,,
AUS,Australia,Tods Corner,1.7,-41.9707,146.7938,Hydro,,
AUS,Australia,Tomago Aluminium Smelter,810,-32.8217,151.7178,Non-Renewables,,
AUS,Australia,Toora Wind Farm,21,-38.6451,146.3441,Wind,,
AUS,Australia,Torrens Island A,480,-34.8068,138.5213,Non-Renewables,,
AUS,Australia,Torrens Island B,800,-34.8052,138.5226,Non-Renewables,,
AUS,Australia,Tower Mine,41.2,-34.2207,150.7179,Non-Renewables,,
AUS,Australia,Townsville,220,-19.2011,146.6187,Non-Renewables,,
AUS,Australia,Traralgon Network Support Station,10,-38.1793,146.5654,Waste,,
AUS,Australia,Trevallyn,80,-41.4226,147.1119,Hydro,,
AUS,Australia,Tribute,82.8,-41.8129,145.6538,Hydro,,
AUS,Australia,Tully Sugar Mill,21.4,-17.9373,145.9267,Biomass,,
AUS,Australia,Tumut 1 (Upper Tumut),616,-35.9517,148.3637,Hydro,,
AUS,Australia,Tumut 2 (Upper Tumut),336,-35.8814,148.3672,Hydro,,
AUS,Australia,Tumut 3,1500,-35.6112,148.2917,Hydro,,
AUS,Australia,Tungatinah,125,-42.2967,146.4565,Hydro,,
AUS,Australia,University of Queensland (St Lucia Campus) Solar Array,1.2,-27.495,153.0101,Solar,,
AUS,Australia,Upper Lake Margaret,8.4,-42.0046,145.5437,Hydro,,
AUS,Australia,Uranquinty,664,-35.1794,147.2157,Non-Renewables,,
AUS,Australia,Uterne Solar,1,-23.7685,133.8682,Solar,,
AUS,Australia,Valdora,15,-26.56,153.025,Solar,,
AUS,Australia,Vales Point B,1360,-33.1607,151.5431,Non-Renewables,,
AUS,Australia,Valley (Peaking Facility),300,-38.2536,146.5892,Non-Renewables,,
AUS,Australia,Victoria Sugar Mill,24,-18.6508,146.2016,Biomass,,
AUS,Australia,Visy Paper Gibson Island,2,-27.4405,153.1158,Biomass,,
AUS,Australia,Visy Pulp and Paper Tumut,20,-35.2959,148.1371,Biomass,,
AUS,Australia,Wadeye,6.8,-14.2602,129.5368,Non-Renewables,,
AUS,Australia,Wagerup,380,-32.916,115.9186,Non-Renewables,,
AUS,Australia,Wagerup Bauxite Mine and Alumina Refinery,98,-32.9145,115.917,Non-Renewables,,
AUS,Australia,Walkaway Wind Farm,90,-28.9229,114.9282,Wind,,
AUS,Australia,Wallerawang C,500,-33.4028,150.0833,Non-Renewables,,
AUS,Australia,Warmun,1.3,-17.0259,128.2113,Non-Renewables,,
AUS,Australia,Warragamba,50,-33.8832,150.5965,Hydro,,
AUS,Australia,Warrego,19,-19.4434,133.8236,Non-Renewables,,
AUS,Australia,Waterloo Wind Farm,111,-34.001,138.9109,Wind,,
AUS,Australia,Wattle Point Wind Farm,90.75,-35.1104,137.7058,Wind,,
AUS,Australia,Waubra Wind Farm,192,-37.3575,143.6037,Wind,,
AUS,Australia,Wayatinah,38.3,-42.4272,146.5347,Hydro,,
AUS,Australia,Weddell,86,-12.5771,130.9502,Non-Renewables,,
AUS,Australia,Wemen Solar Farm,110,-34.8027,142.5457,Solar,,
AUS,Australia,West Angelas Mine,86,-23.1546,118.7245,Non-Renewables,,
AUS,Australia,West Illawarra Leagues Club,1,-34.4515,150.8429,Non-Renewables,,
AUS,Australia,West Kalgoorlie,60,-30.7806,121.4234,Non-Renewables,,
AUS,Australia,West Kiewa (Mount Beauty Hydro Scheme),62,-36.7601,147.186,Hydro,,
AUS,Australia,West Nowra (Shoalhaven),1,-34.882,150.5515,Waste,,
AUS,Australia,Western Suburbs Leagues Club (Campbelltown),1,-34.0513,150.8329,Non-Renewables,,
AUS,Australia,White Rock,20,-29.765,151.553,Solar,,
AUS,Australia,Whitsunday Solar Farm,69,-20.4949,147.7481,Solar,,
AUS,Australia,Whitwood Road,1,-27.659,152.8237,Waste,,
AUS,Australia,Whyalla SSE,6,-33.007,137.558,Solar,,
AUS,Australia,Wilga Park,16,-30.3634,149.6772,Non-Renewables,,
AUS,Australia,Williamsdale,7,-35.571,149.128,Solar,,
AUS,Australia,Wilmot,81.6,-41.4833,146.1251,Hydro,,
AUS,Australia,Wilpena Solar Farm,145,-31.5234,138.6198,Solar,,
AUS,Australia,Wiluna,1.3,-26.5922,120.2185,Non-Renewables,,
AUS,Australia,Wiluna Gold Mine,21,-26.6316,120.2519,Non-Renewables,,
AUS,Australia,Windimurra Vanadium Mine,23.7,-28.2933,118.5371,Non-Renewables,,
AUS,Australia,Windy Hill Wind Farm,12,-17.5922,145.5306,Wind,,
AUS,Australia,Wingfield I,5,-34.8348,138.5572,Waste,,
AUS,Australia,Wingfield II,5,-34.8321,138.5489,Waste,,
AUS,Australia,Wivenhoe,4.7,-27.3952,152.6092,Hydro,,
AUS,Australia,Wivenhoe Hydroelectric,500,-27.3722,152.632,Hydro,,
AUS,Australia,Wodgina,13.7,-21.1739,118.6747,Non-Renewables,,
AUS,Australia,Wollert,6.738,-37.583,145.0487,Waste,,
AUS,Australia,Wonthaggi Wind Farm,12,-38.6037,145.5462,Wind,,
AUS,Australia,Woodlawn Bioreactor,7,-35.059,149.5769,Waste,,
AUS,Australia,Woodlawn Wind Farm,48,-35.0861,149.5716,Wind,,
AUS,Australia,Woodman Point,1.8,-32.1424,115.7713,Waste,,
AUS,Australia,Worsley,120,-33.2355,116.0688,Non-Renewables,,
AUS,Australia,Worsley Cogeneration,106,-33.2365,116.0637,Non-Renewables,,
AUS,Australia,Wyangala A,20,-33.981,148.9473,Hydro,,
AUS,Australia,Wyndham,1,-37.9375,144.5902,Waste,,
AUS,Australia,Xstata X41,30,-20.7437,139.4803,Non-Renewables,,
AUS,Australia,Yallourn,1480,-38.177,146.3428,Non-Renewables,,
AUS,Australia,Yaloak South Wind Farm,131,-37.7281,144.2408,Wind,,
AUS,Australia,Yambuk Wind Farm,30,-38.3079,142.0151,Wind,,
AUS,Australia,Yarrawonga,9,-36.0094,145.9995,Hydro,,
AUS,Australia,Yarwun,154,-23.8306,151.1519,Non-Renewables,,
AUS,Australia,Yatpool,81,-34.407,142.179,Solar,,
AUS,Australia,Yulara,10.95,-25.2323,130.9912,Non-Renewables,,
AUS,Australia,Yurralyi Maya (Karratha Seven Mile),180,-20.762,116.742,Non-Renewables,,
