country,country_long,name,capacity_mw,latitude,longitude,primary_fuel,,Text
AUS,Australia,Christmas Creek Iron Ore Mine,58,-22.399,119.732,Non-Renewables,,
AUS,Australia,Clare Solar Farm,130,-19.8398,147.2105,Solar,,
AUS,Australia,Claytons,11,-37.9502,145.1187,Waste,,
AUS,Australia,Clements Gap Wind Farm,57,-33.5086,138.1192,Wind,,
AUS,Australia,Clermont Solar Farm,100,-22.8446,147.5855,Solar,,
AUS,Australia,Cloudbreak,44,-22.3247,119.404,Non-Renewables,,
AUS,Australia,Clover,30,-36.7853,147.2205,Hydro,,
AUS,Australia,Cluny,17,-42.5064,146.6812,Hydro,,
AUS,Australia,Cockburn,240,-32.2001,115.7737,Non-Renewables,,
AUS,Australia,Codrington Wind Farm,18.2,-38.2835,141.9547,Wind,,
AUS,Australia,Collgar Wind Farm,206,-31.5432,118.4566,Wind,,
AUS,Australia,Collie (Bluewaters),416,-33.331,116.229,Non-Renewables,,
AUS,Australia,Collie A,340,-33.3422,116.2612,Non-Renewables,,
AUS,Australia,Collinsville,190,-20.5447,147.8049,Non-Renewables,,
AUS,Australia,Collinsville Solar Farm,42,-20.5411,147.8074,Solar,,
AUS,Australia,Colongra,724,-33.2099,151.5448,Non-Renewables,,
AUS,Australia,Condamine A,144,-26.6682,150.27,Non-Renewables,,
AUS,Australia,Condong Sugar Mill,30,-28.3138,153.4341,Biomass,,
AUS,Australia,Copeton,24,-29.9102,150.9235,Hydro,,
AUS,Australia,Coral Bay Diesel Backup,2.24,-23.1521,113.7762,Non-Renewables,,
AUS,Australia,Corio,1,-38.0587,144.4056,Waste,,
AUS,Australia,Crookwell Wind Farm,4.8,-34.5165,149.5425,Wind,,
AUS,Australia,Crowlands Wind Farm,80,-37.1216,143.1537,Wind,,
AUS,Australia,Cullerin Range Wind Farm,30,-34.805,149.4001,Wind,,
AUS,Australia,Daandine,33,-27.0863,150.943,Non-Renewables,,
AUS,Australia,Dampier,120,-20.648,116.7219,Non-Renewables,,
AUS,Australia,Darling Downs,644,-27.1169,150.8942,Non-Renewables,,
AUS,Australia,Darling Downs Solar Farm,110,-27.1169,150.8942,Solar,,
AUS,Australia,Darlot Gold Mine,11.7,-27.8972,121.2698,Non-Renewables,,
AUS,Australia,Dartmouth (Mount Beauty Hydro Scheme),150,-36.5564,147.5206,Hydro,,
AUS,Australia,Darwin DRW,4,-12.4157,130.8908,Solar,,
AUS,Australia,Daydream Solar Farm ,50,-20.4947,147.7707,Solar,,
AUS,Australia,DeGrussa,10.6,-25.55,119.317,Solar,,
AUS,Australia,Denham Diesel Backup,1.6,-25.9167,113.534,Non-Renewables,,
AUS,Australia,Derby,12.53,-17.3141,123.6441,Non-Renewables,,
AUS,Australia,Devils Gate,60,-41.3505,146.2632,Hydro,,
AUS,Australia,Diamantina,242,-20.7837,139.4833,Non-Renewables,,
AUS,Australia,Dry Creek,156,-34.8475,138.5818,Non-Renewables,,
AUS,Australia,Dubbo,30,-32.273,148.658,Solar,,
AUS,Australia,EarthPower Biomass Plant,3.9,-33.8204,151.042,Waste,,
AUS,Australia,Eastern Creek,5.4,-33.8142,150.8537,Waste,,
AUS,Australia,Eastern Creek 2,8.984,-33.8125,150.8617,Waste,,
AUS,Australia,Eildon,120,-37.222,145.9215,Hydro,,
AUS,Australia,Eildon Small Hydro,5,-37.2431,145.8974,Hydro,,
AUS,Australia,Elliott,1,-17.5504,133.5393,Non-Renewables,,
AUS,Australia,Emerald Solar Farm,68,-23.5084,148.1347,Solar,,
AUS,Australia,Emu Downs,20,-30.489,115.416,Solar,,
AUS,Australia,Emu Downs Wind Farm,79.2,-30.4882,115.3768,Wind,,
AUS,Australia,Energy Brix,195,-38.2546,146.4137,Non-Renewables,,
AUS,Australia,Eraring,41.5,-33.0617,151.5223,Non-Renewables,,
AUS,Australia,Esperance,33,-33.8762,121.8998,Non-Renewables,,
AUS,Australia,Esperance Wind Farm Nine Mile Beach,3.6,-33.8927,121.7778,Wind,,
AUS,Australia,Esperance Wind Farm Ten Mile Lagoon,2.03,-33.8802,121.769,Wind,,
AUS,Australia,Exmouth,8,-21.9465,114.125,Non-Renewables,,
AUS,Australia,Fisher,43.2,-41.6732,146.2687,Hydro,,
AUS,Australia,Fitzroy Crossing,4.06,-18.1956,125.5597,Non-Renewables,,
AUS,Australia,Gannawarra Solar Farm,60,-35.6762,143.4553,Solar,,
AUS,Australia,Geraldton,21,-28.7701,114.6485,Non-Renewables,,
AUS,Australia,German Creek,45.2,-22.9281,148.5515,Non-Renewables,,
AUS,Australia,Gladstone,1680,-23.8508,151.2187,Non-Renewables,,
AUS,Australia,Glenbawn,5.8,-32.1097,150.9982,Hydro,,
AUS,Australia,Glennies Creek,13,-32.4598,151.1286,Non-Renewables,,
AUS,Australia,Glenorchy,1.6,-42.8415,147.255,Waste,,
AUS,Australia,Goondiwindi,4.5,-28.325,150.375,Solar,,
AUS,Australia,Gordon,432,-42.7405,145.9828,Hydro,,
AUS,Australia,Gosnells,1.1,-32.0228,116.0129,Waste,,
AUS,Australia,Grange Avenue,2,-33.7029,150.8312,Waste,,
AUS,Australia,Grasmere Wind Farm (Albany Stage II),13.8,-35.0507,117.7638,Wind,,
AUS,Australia,Greenough River Solar Farm,10,-28.9043,115.1119,Solar,,
AUS,Australia,Griffith Solar Farm,36,-34.3155,146.1094,Solar,,
AUS,Australia,Gullen,10,-34.61,149.476,Solar,,
AUS,Australia,Gullen Range Wind Farm,165.5,-34.6149,149.4597,Wind,,
AUS,Australia,Gunning,47,-34.6977,149.3861,Wind,,
AUS,Australia,Guthega,80,-36.3501,148.4135,Hydro,,
AUS,Australia,Hallam Road,8.984,-38.0535,145.2699,Waste,,
AUS,Australia,Hallet 5 - The Bluff,52.5,-33.3855,138.7928,Wind,,
AUS,Australia,Hallett,228.3,-33.3487,138.7517,Non-Renewables,,
AUS,Australia,Hallett 1 Brown Hill Wind Farm,94.5,-33.3397,138.7323,Wind,,
AUS,Australia,Hallett 2 Hallet Hill Wind Farm,71.4,-33.5226,138.8552,Wind,,
AUS,Australia,Halls Creek,3.69,-18.2328,127.6619,Non-Renewables,,
AUS,Australia,Hamilton Solar Farm,69,-20.5048,147.7671,Solar,,
AUS,Australia,Haughton River Solar Farm,500,-19.733,147.0483,Solar,,
AUS,Australia,Hayman Solar Farm,180,-20.4877,147.7449,Solar,,
AUS,Australia,Hazelwood,1600,-38.2731,146.3923,Non-Renewables,,
AUS,Australia,Henderson,3.2,-32.165,115.8008,Waste,,
AUS,Australia,Highbury,2,-34.849,138.7203,Waste,,
AUS,Australia,Hobart,1,-42.8883,147.2888,Waste,,
AUS,Australia,Hopetoun Diesel Backup,1.3,-33.905,120.1299,Non-Renewables,,
AUS,Australia,Hopetoun Wind Turbines,1.2,-33.9078,120.1297,Wind,,
AUS,Australia,Hughendon,20,-20.875,144.17,Solar,,
AUS,Australia,Hume,70,-36.1066,147.0326,Hydro,,
AUS,Australia,Hunter,29,-32.836,151.4505,Non-Renewables,,
AUS,Australia,Hunter Valley,50,-32.3893,150.9664,Non-Renewables,,
AUS,Australia,Inkerman Sugar Mill,10.5,-19.6422,147.4016,Biomass,,
AUS,Australia,Invicta Sugar Mill,150,-19.5167,147.1065,Biomass,,
AUS,Australia,Isis Central Sugar Mill,25,-25.194,152.2086,Biomass,,
AUS,Australia,Jacks Gully,2.3,-34.0734,150.7427,Waste,,
AUS,Australia,Jeeralang A,204,-38.2753,146.4263,Non-Renewables,,
AUS,Australia,Jeeralang B,228,-38.2746,146.4249,Non-Renewables,,
AUS,Australia,Jindabyne Dam Mini Hydro,1.1,-36.4351,148.6333,Hydro,,
AUS,Australia,John Butters,144,-42.1548,145.5345,Hydro,,
AUS,Australia,Jounama,14,-35.562,148.3055,Hydro,,
AUS,Australia,Jundee Gold Mine,21,-26.3712,120.5776,Non-Renewables,,
AUS,Australia,KRC Cogeneration Plant,4.2,-27.4453,153.1185,Non-Renewables,,
AUS,Australia,Kalamia Sugar Mill,9,-19.5223,147.4152,Biomass,,
AUS,Australia,Kalamunda,1.3,-31.9768,115.9988,Non-Renewables,,
AUS,Australia,Kalbarri Wind Farm,1.7,-27.8995,114.1946,Wind,,
AUS,Australia,Kalgoorlie (Parkeston),110,-30.7378,121.5065,Non-Renewables,,
